word	lemma	synset_count
right	right	36
good	good	27
square	square	25
hard	hard	22
key	key	21
last	last	21
bored	bore	19
bad	bad	17
first	first	16
easy	easy	15
second	second	15
secret	secret	14
front	front	13
real	real	13
small	small	13
long	long	12
new	new	12
trust	trust	12
cool	cool	11
late	late	11
plain	plain	11
little	little	10
sure	sure	10
old	old	9
smart	smart	9
exciting	excite	8
fake	fake	8
professional	professional	8
whole	whole	8
certain	certain	7
fellow	fellow	7
great	great	7
much	much	7
ordinary	ordinary	7
social	social	7
absolute	absolute	6
basic	basic	6
essential	essential	6
past	past	6
upper	upper	6
western	western	6
favorite	favorite	5
likely	likely	5
married	married	5
nervous	nervous	5
normal	normal	5
perfect	perfect	5
private	private	5
tired	tire	5
able	able	4
afraid	afraid	4
chief	chief	4
criminal	criminal	4
enemy	enemy	4
fierce	fierce	4
foreign	foreign	4
happy	happy	4
industrial	industrial	4
informal	informal	4
mad	mad	4
next	next	4
okay	okay	4
other	other	4
possible	possible	4
potential	potential	4
pro	pro	4
public	public	4
sorry	sorry	4
stupid	stupid	4
terrible	terrible	4
unacceptable	unacceptable	4
unfortunate	unfortunate	4
cautious	cautious	3
central	central	3
enough	enough	3
irrational	irrational	3
mandatory	mandatory	3
mere	mere	3
necessary	necessary	3
poisonous	poisonous	3
political	political	3
cute	cute	2
dangerous	dangerous	2
difficult	difficult	2
elite	elite	2
happiness	happiness	2
hundred	hundred	2
orphanage	orphanage	2
own	own	2
seditious	seditious	2
subconscious	subconscious	2
such	such	2
unbelievable	unbelievable	2
applicant	applicant	1
causal	causal	1
childish	childish	1
day-to-day	day-to-day	1
exam	exam	1
far-right	far-right	1
huge	huge	1
many	many	1
na	na	1
no-go	no-go	1
pent-up	pent-up	1
powerless	powerless	1
rid	rid	1
scary	scary	1
self-esteem	self-esteem	1
*	*	0
anya	anya	0
bomby-bombs	bomby-bombs	0
k-	k-	0
loid	loid	0
securable	securable	0
single-family	single-family	0
t-twilight	t-twilight	0
ten-pent	ten-pent	0
uh-huh	uh-huh	0
withthe	withthe	0
—	—	0
